TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/llvm/include/llvm/MC/MCAssembler.h,495,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/lib/Serialization/ASTWriter.cpp,3717,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,dalvik/vm/oo/ObjectInlines.h,151,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/lib/MC/MCContext.cpp,199,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/Passes.cpp,304,Unknown,,,,,,,,,+,+,+,+,,4
Integer overflow,external/llvm/lib/Support/raw_ostream.cpp,714,Unknown,,,,,,,,,+,+,,+,+,4
Integer overflow,external/webp/src/utils/bit_writer.c,247,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/qemu/android/boot-properties.c,227,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/include/llvm/ADT/IntervalMap.h,1931,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/clang/lib/AST/TypePrinter.cpp,43,Unknown,,,,,,,,,+,,,,,1
Integer overflow,dalvik/vm/alloc/Alloc.cpp,229,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/icu4c/common/utrie2_builder.c,575,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/include/llvm/ADT/IntervalMap.h,1380,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/llvm/lib/Target/ARM/ARMCodeEmitter.cpp,1137,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/openssl/crypto/mem.c,305,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/valgrind/main/coregrind/m_debuginfo/readpdb.c,1334,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/MC/MCAsmStreamer.cpp,456,Unknown,,,,,,,,,+,+,,,,2
Assigning value to const variable,external/llvm/include/llvm/Bitcode/BitstreamWriter.h,126,Unknown,,,,,,,,,+,+,,+,,3
Integer overflow,external/llvm/lib/Target/ARM/ARMBaseInstrInfo.cpp,722,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/StackColoring.cpp,659,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/include/llvm/Target/TargetData.h,205,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/openssl/crypto/asn1/tasn_enc.c,454,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/aac/libAACenc/src/aacenc_lib.cpp,570,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/webkit/Source/WebCore/fileapi/WebKitBlobBuilder.cpp,59,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/Bitcode/BitCodes.h,171,Unknown,,,,,,,,,+,+,,,,2
Integer overflow,external/chromium/net/http/http_stream_parser.cc,320,Unknown,,,,,,,,,+,,+,,+,3
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,815,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/Bitcode/Reader/BitcodeReader.h,214,Unknown,,,,,,,,,+,+,+,,,3
Assigning value to const variable,external/clang/include/clang/Basic/IdentifierTable.h,464,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/openssl/crypto/err/err.c,732,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/sqlite/dist/sqlite3.c,126594,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/skia/src/core/SkBitmap.cpp,386,Unknown,,,,,,,,,+,+,,+,+,4
Assigning value to const variable,external/llvm/include/llvm/Value.h,331,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/include/llvm/ADT/StringMap.h,362,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/Operator.h,139,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/skia/include/core/SkScalerContext.h,260,Unknown,,,,,,,,,+,,,,+,2
Integer overflow,external/webkit/Source/WebCore/platform/graphics/skia/GradientSkia.cpp,108,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,frameworks/compile/libbcc/bcinfo/BitReader_2_7/BitcodeReader.h,212,Unknown,,,,,,,,,+,+,,,+,3
Assigning value to const variable,external/openssl/crypto/cryptlib.c,351,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/openssl/crypto/lhash/lhash.c,205,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/SelectionDAG/SelectionDAG.cpp,693,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/qemu/android/camera/camera-service.c,890,Unknown,,,,,,,,,+,,+,,+,3
Integer overflow,external/qemu/hw/goldfish_mmc.c,289,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/dropbear/libtommath/bn_fast_s_mp_sqr.c,53,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,314,Unknown,,,,,,,,,+,+,+,,,3
Assigning value to const variable,external/skia/src/core/SkPixelRef.cpp,111,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,bionic/libc/stdio/wbuf.c,79,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,332,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/dbus/dbus/dbus-mempool.c,387,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/clang/include/clang/Analysis/Support/BumpVector.h,239,Unknown,,,,,,,,,+,,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/ADT/DenseMap.h,913,Unknown,,,,,,,,,+,,,+,,2
Assigning value to const variable,external/llvm/lib/Analysis/IPA/GlobalsModRef.cpp,48,Unknown,,,,,,,,,+,+,,+,+,4
Assigning value to const variable,external/clang/lib/AST/Expr.cpp,3548,Unknown,,,,,,,,,+,,+,+,+,4
Integer overflow,external/libsepol/src/link.c,2335,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/CodeGen/MachineLICM.cpp,1199,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/skia/src/core/SkPixelRef.cpp,114,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/include/llvm/Instructions.h,2639,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/sqlite/dist/sqlite3.c,19074,Unknown,,,,,,,,,+,+,,+,,3
Assigning value to const variable,external/llvm/lib/CodeGen/MachineRegisterInfo.cpp,156,Unknown,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/llvm/include/llvm/ADT/IndexedMap.h,66,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/llvm/lib/CodeGen/Passes.cpp,306,Unknown,,,,,,,,,+,+,,,+,3
Integer overflow,external/llvm/include/llvm/ADT/IntervalMap.h,250,Unknown,,,,,,,,,+,+,+,+,,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/Heuristics/Briggs.h,279,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/valgrind/main/coregrind/m_debuginfo/readpdb.c,1336,TP,,,,,,,,,+,+,+,+,+,5
Integer overflow,external/srec/srec/cfront/sp_fft.c,210,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/sqlite/dist/sqlite3.c,20853,Unknown,,,,,,,,,+,+,+,+,,4
Assigning value to const variable,external/skia/src/core/SkPath.cpp,66,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/webkit/Source/WebCore/loader/appcache/ApplicationCacheGroup.cpp,778,Unknown,,,,,,,,,+,,,,,1
Integer overflow,external/qemu/exec-all.h,271,Unknown,,,,,,,,,+,+,+,+,+,5
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/ObjCARC.cpp,1420,Unknown,,,,,,,,,+,,,,,1
Assigning value to const variable,external/clang/include/clang/Basic/Diagnostic.h,657,Unknown,,,,,,,,,+,+,,+,+,4
Integer overflow,frameworks/base/tools/aapt/Images.cpp,329,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/webkit/Source/WebCore/platform/graphics/skia/GradientSkia.cpp,109,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/webkit/Source/WebCore/platform/graphics/skia/GradientSkia.cpp,109,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/icu4c/common/ucnv_lmb.c,1287,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,bionic/libc/bionic/pthread.c,344,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/include/llvm/Bitcode/BitstreamReader.h,310,Unknown,,,,,,,,,,+,,+,+,3
Assigning value to const variable,external/llvm/lib/CodeGen/LiveRangeEdit.cpp,49,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/include/llvm/Instructions.h,1189,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/lib/Target/ARM/ARMBaseInstrInfo.cpp,723,FP,,,,,,,,,,+,+,+,+,4
Integer overflow,external/protobuf/src/google/protobuf/stubs/strutil.cc,123,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/expat/lib/xmlparse.c,2527,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/openssl/crypto/bio/bio_lib.c,156,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/StringHasher.h,74,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/Lex/HeaderSearch.cpp,713,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/icu4c/i18n/msgfmt.cpp,814,TP,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/expat/lib/xmlparse.c,2528,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/stlport/stlport/stl/_string_base.h,74,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/icu4c/common/ucnv.c,1637,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,1876,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/CodeGen/CodeGenFunction.cpp,1109,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/skia/include/core/SkScalerContext.h,286,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/llvm/include/llvm/ADT/SmallPtrSet.h,84,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/include/llvm/ADT/StringRef.h,438,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/MC/MCStreamer.h,198,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/icu4c/common/uresdata.c,324,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/include/llvm/IRBuilder.h,90,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/valgrind/tsan/thread_sanitizer.cc,4378,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/include/llvm/Value.h,113,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/dbus/dbus/dbus-mempool.c,387,Unknown,,,,,,,,,,+,,,,1
Integer overflow,prebuilts/ndk/current/sources/cxx-stl/stlport/stlport/stl/_string_operators.h,87,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/dbus/dbus/dbus-dataslot.c,189,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/icu4c/i18n/cpdtrans.cpp,366,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/webkit/Source/WebCore/rendering/RenderObject.h,511,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/openssl/crypto/lhash/lhash.c,259,Unknown,,,,,,,,,,+,+,,+,3
Integer overflow,external/stlport/stlport/stl/_vector.h,173,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/include/llvm/CodeGen/EdgeBundles.h,43,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/openssl/crypto/mem_dbg.c,269,Unknown,,,,,,,,,,+,+,,,2
Integer overflow,prebuilts/ndk/current/sources/cxx-stl/stlport/stlport/stl/_string_base.h,74,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/clang/lib/AST/ASTContext.cpp,1035,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/MachineOperand.h,387,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/lib/CodeGen/AsmPrinter/DIE.h,175,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/Solution.h,62,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/skia/src/gpu/GrDrawState.h,142,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/llvm/include/llvm/Support/Recycler.h,43,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/include/llvm/Support/SourceMgr.h,165,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/opencv/ml/src/mlsvm.cpp,2303,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/icu4c/i18n/rbt_pars.cpp,1099,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/e2fsprogs/lib/ext2fs/alloc.c,128,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,system/core/libsparse/backed_block.c,210,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/sqlite/dist/sqlite3.c,62626,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/ipsec-tools/src/racoon/crypto_openssl.c,2648,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAGNodes.h,414,Unknown,,,,,,,,,,+,,+,,2
Integer overflow,external/llvm/lib/CodeGen/TailDuplication.cpp,480,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/dbus/dbus/dbus-resources.c,129,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/RefCounted.h,98,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/PBQP/Heuristics/Briggs.h,409,Unknown,,,,,,,,,,+,+,,,2
Assigning value to const variable,external/llvm/lib/Support/APInt.cpp,158,Unknown,,,,,,,,,,+,,+,+,3
Integer overflow,external/webp/src/enc/backward_references.h,86,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/Basic/DiagnosticIDs.cpp,661,Unknown,,,,,,,,,,+,,+,,2
Assigning value to const variable,external/llvm/include/llvm/ADT/StringMap.h,127,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/clang/lib/Serialization/ASTReaderDecl.cpp,2122,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/lib/Target/ARM/ARMLoadStoreOptimizer.cpp,492,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/lib/CodeGen/MachineRegisterInfo.cpp,151,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/clang/include/clang/Basic/SourceLocation.h,135,Unknown,,,,,,,,,,+,+,,,2
Integer overflow,frameworks/base/libs/androidfw/ResourceTypes.cpp,2950,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/lib/Transforms/Utils/SimplifyCFG.cpp,1416,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/openssl/crypto/err/err.c,732,Unknown,,,,,,,,,,+,,,+,2
Assigning value to const variable,external/llvm/lib/CodeGen/TargetLoweringObjectFileImpl.cpp,397,Unknown,,,,,,,,,,+,,,,1
Integer overflow,frameworks/base/libs/androidfw/ResourceTypes.cpp,3836,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/Sema/SemaDecl.cpp,9073,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/sqlite/dist/sqlite3.c,50208,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/llvm/lib/CodeGen/AsmPrinter/AsmPrinter.cpp,1365,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/qemu/android/camera/camera-format-converters.c,920,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/stlport/stlport/stl/char_traits.h,168,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/expat/lib/xmlparse.c,2530,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/include/llvm/Module.h,270,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/clang/lib/AST/ASTContext.cpp,2629,Unknown,,,,,,,,,,+,,+,,2
Integer overflow,prebuilts/ndk/current/sources/cxx-stl/stlport/stlport/stl/_vector.h,175,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,hardware/invensense/mlsdk/platform/linux/mlsl_linux_mpu.c,222,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/skia/src/effects/SkBlurImageFilter.cpp,63,Unclear,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/lib/CodeGen/AsmPrinter/DwarfDebug.cpp,939,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/Rewrite/Core/RewriteRope.cpp,746,Unknown,,,,,,,,,,+,,+,+,3
Integer overflow,external/dbus/dbus/dbus-string.c,871,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/srec/tools/grxmlcompile/grxmldoc.cpp,67,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,2077,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/Analysis/AliasSetTracker.h,56,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/skia/src/core/SkGlyphCache.h,228,Unknown,,,,,,,,,,+,,,+,2
Assigning value to const variable,external/llvm/include/llvm/Bitcode/BitstreamReader.h,294,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/include/clang/Lex/MultipleIncludeOpt.h,67,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/lib/CodeGen/PostRASchedulerList.cpp,326,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/llvm/lib/VMCore/Instructions.cpp,143,Unknown,,,,,,,,,,+,,+,+,3
Assigning value to const variable,external/openssl/crypto/lhash/lhash.c,265,Unknown,,,,,,,,,,+,+,+,,3
Integer overflow,external/srec/srec/cfront/frontobj.c,445,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/srec/srec/cfront/frontobj.c,445,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAG.h,199,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/libxml2/hash.c,193,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/lib/Target/Mips/MCTargetDesc/MipsMCCodeEmitter.cpp,310,FP,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/dbus/dbus/dbus-connection.c,383,Unknown,,,,,,,,,,+,+,,,2
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,343,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/include/llvm/IRBuilder.h,75,Unknown,,,,,,,,,,+,,+,+,3
Integer overflow,external/linux-tools-perf/util/sigchain.c,24,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/include/clang/Basic/IdentifierTable.h,311,Unknown,,,,,,,,,,+,+,,,2
Assigning value to const variable,external/skia/src/core/SkBitmap.cpp,300,Unknown,,,,,,,,,,+,,+,,2
Integer overflow,external/aac/libFDK/include/FDK_bitstream.h,235,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/icu4c/common/uloc.c,1543,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/stlport/stlport/stl/_ostream.c,336,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/dbus/dbus/dbus-string.c,1332,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/lib/Transforms/Utils/SimplifyCFG.cpp,1410,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/clang/lib/CodeGen/TargetInfo.cpp,3859,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/lib/Target/ARM/ARMBaseInstrInfo.cpp,722,Unknown,,,,,,,,,,+,+,+,+,4
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeIntegerTypes.cpp,1502,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/openssl/crypto/objects/obj_dat.c,226,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/llvm/include/llvm/Analysis/CallGraph.h,192,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/clang/include/clang/AST/Decl.h,1706,Unknown,,,,,,,,,,+,,,+,2
Assigning value to const variable,external/stlport/stlport/stl/_construct.h,101,Unknown,,,,,,,,,,+,+,+,+,4
Assigning value to const variable,external/skia/src/gpu/GrDrawTarget.cpp,670,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,frameworks/compile/mclinker/lib/LD/MsgHandler.cpp,41,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/llvm/include/llvm/Analysis/AliasSetTracker.h,146,Unknown,,,,,,,,,,+,+,,+,3
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAGNodes.h,284,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/stlport/stlport/stl/_ios_base.h,186,Unknown,,,,,,,,,,+,,,,1
Integer overflow,frameworks/av/libvideoeditor/lvpp/VideoEditorPreviewController.cpp,572,Unknown,,,,,,,,,,+,+,,,2
Integer overflow,frameworks/av/media/libstagefright/codecs/on2/h264dec/source/h264bsd_slice_header.c,645,Unknown,,,,,,,,,,+,+,,,2
Assigning value to const variable,external/libxml2/tree.c,1177,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/StringHasher.h,67,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/include/llvm/Target/TargetData.h,232,Unknown,,,,,,,,,,+,,,+,2
Assigning value to const variable,external/stlport/stlport/stl/_tree.c,65,Unknown,,,,,,,,,,+,,+,+,3
Assigning value to const variable,external/openssl/crypto/mem_dbg.c,261,Unknown,,,,,,,,,,+,+,,,2
Integer overflow,external/webkit/Source/WebCore/rendering/RenderBlockLineLayout.cpp,162,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/llvm/include/llvm/MC/MCSymbol.h,139,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/clang/include/clang/Basic/Diagnostic.h,859,Unknown,,,,,,,,,,+,,+,,2
Assigning value to const variable,external/libxml2/xmlIO.c,2254,Unknown,,,,,,,,,,+,,,,1
Integer overflow,external/llvm/include/llvm/Target/TargetData.h,335,Unknown,,,,,,,,,,+,,+,,2
Assigning value to const variable,external/skia/src/core/SkEdge.cpp,243,Unknown,,,,,,,,,,+,+,+,,3
Assigning value to const variable,external/clang/lib/CodeGen/CGValue.h,443,Unknown,,,,,,,,,,+,,,,1
Assigning value to const variable,external/clang/lib/Rewrite/Core/RewriteRope.cpp,796,Unknown,,,,,,,,,,+,+,,+,3
Assigning value to const variable,external/llvm/include/llvm/CodeGen/SelectionDAGNodes.h,392,Unknown,,,,,,,,,,+,+,,,2
Assigning value to const variable,external/clang/include/clang/Driver/Arg.h,90,Unknown,,,,,,,,,,+,,,,1
